06-16 18:10 root         INFO     Expansion fails on C=NN=O!
06-16 18:10 root         INFO     Synthesis route found!
06-16 18:10 root         INFO     Final search status | success value | iter: 5.214049526640185 | 9.132361311016403 | 59
06-16 18:10 root         INFO     Succ: 14/17/190 | avg time: 86.95 s | avg iter: 177.59
06-16 18:10 root         INFO     Synthesis route found!
06-16 18:10 root         INFO     Final search status | success value | iter: 0.7421718226922637 | 0.7421950827759511 | 6
06-16 18:10 root         INFO     Succ: 15/18/190 | avg time: 82.22 s | avg iter: 168.06
06-16 18:11 root         INFO     Synthesis route found!
06-16 18:11 root         INFO     Final search status | success value | iter: 6.059809946976035 | 12.967565225958172 | 108
06-16 18:11 root         INFO     Succ: 16/19/190 | avg time: 80.31 s | avg iter: 164.89
06-16 18:13 root         INFO     Expansion fails on O=S(=O)([O-])Cl!
06-16 18:13 root         INFO     Expansion fails on O=S(=O)([O-])Cl!
06-16 18:15 root         INFO     Expansion fails on O=S(=O)([O-])Cl!
06-16 18:15 root         INFO     Expansion fails on O=S(=O)([O-])Cl!
06-16 18:15 root         INFO     Expansion fails on O=S(=O)([O-])Cl!
06-16 18:15 root         INFO     Final search status | success value | iter: 6.867993134250576 | inf | 500
06-16 18:15 root         INFO     Succ: 16/20/190 | avg time: 88.21 s | avg iter: 181.65
06-16 18:15 root         INFO     Synthesis route found!
06-16 18:15 root         INFO     Final search status | success value | iter: 4.7824472052361475 | 6.058852496507866 | 9
06-16 18:15 root         INFO     Succ: 17/21/190 | avg time: 84.22 s | avg iter: 173.43
06-16 18:17 root         INFO     Synthesis route found!
06-16 18:17 root         INFO     Final search status | success value | iter: 5.528689894276537 | 6.528483654170534 | 201
06-16 18:17 root         INFO     Succ: 18/22/190 | avg time: 86.55 s | avg iter: 174.68
06-16 18:17 root         INFO     Synthesis route found!
06-16 18:17 root         INFO     Final search status | success value | iter: 1.000001441707457 | 1.0001170050478183 | 5
06-16 18:17 root         INFO     Succ: 19/23/190 | avg time: 82.87 s | avg iter: 167.30
06-16 18:21 root         INFO     Synthesis route found!
06-16 18:21 root         INFO     Final search status | success value | iter: 6.124208349284128 | 13.031963628266265 | 300
06-16 18:21 root         INFO     Succ: 20/24/190 | avg time: 87.49 s | avg iter: 172.83
06-16 18:21 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:21 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:21 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:21 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:21 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:21 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:22 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:22 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:22 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:23 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:23 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:23 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:23 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:23 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:23 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:23 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:23 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:24 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:24 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:24 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:24 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:25 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:25 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:25 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:25 root         INFO     Final search status | success value | iter: 7.445005029720315 | inf | 500
06-16 18:25 root         INFO     Succ: 20/25/190 | avg time: 94.71 s | avg iter: 185.92
06-16 18:25 root         INFO     Synthesis route found!
06-16 18:25 root         INFO     Final search status | success value | iter: 0.0104101971644428 | 0.15868899829325722 | 3
06-16 18:25 root         INFO     Succ: 21/26/190 | avg time: 91.11 s | avg iter: 178.88
06-16 18:26 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:26 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:26 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:27 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:27 root         INFO     Expansion fails on O=S(Cl)Cl!
06-16 18:28 root         INFO     Synthesis route found!
06-16 18:28 root         INFO     Final search status | success value | iter: 7.774282238879501 | 9.891318705036687 | 308
